LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-01-08 20:30:17,1900-01-00 00:00:00,,5E:90:FB:BF:D8:FC,-38,,0.000000,0.000000,0.000,0.000,Client
2025-01-08 20:30:18,1900-01-00 00:00:00,,64:20:E0:19:F3:0A,-38,,0.000000,0.000000,0.000,0.000,Client
2025-01-08 20:30:18,1900-01-00 00:00:00,,5E:90:FB:BF:D8:FC,-38,,0.000000,0.000000,0.000,0.000,Client
2025-01-08 20:30:19,1900-01-00 00:00:00,,64:20:E0:19:F3:0A,-49,,0.000000,0.000000,0.000,0.000,Client
2025-01-08 20:30:19,1900-01-00 00:00:00,,64:20:E0:19:F3:0A,-37,,0.000000,0.000000,0.000,0.000,Client
2025-01-08 20:30:19,1900-01-00 00:00:00,,64:20:E0:19:F3:0A,-36,,0.000000,0.000000,0.000,0.000,Client
2025-01-08 20:30:20,1900-01-00 00:00:00,,64:20:E0:19:F3:09,-41, ,0.000000,0.000000,0.000,0.000,AP
2025-01-08 20:30:20,1900-01-00 00:00:00,Thor2558,64:20:E0:19:F3:09,-37, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-01-08 20:30:20,1900-01-00 00:00:00,,6E:C1:F3:AC:BD:35,-35,,0.000000,0.000000,0.000,0.000,Client
2025-01-08 20:30:20,1900-01-00 00:00:00,,6E:C1:F3:AC:BD:35,-33,,0.000000,0.000000,0.000,0.000,Client
2025-01-08 20:30:20,1900-01-00 00:00:00,,CE:C9:0A:7F:E1:0E,-66,,0.000000,0.000000,0.000,0.000,Client
2025-01-08 20:30:20,1900-01-00 00:00:00,,CE:C9:0A:7F:E1:0E,-66,,0.000000,0.000000,0.000,0.000,Client
2025-01-08 20:30:20,1900-01-00 00:00:00,Thor2558,64:20:E0:19:F3:09,-37, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-01-08 20:30:20,1900-01-00 00:00:00,Thor2558,64:20:E0:19:F3:09,-41, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-01-08 20:30:20,1900-01-00 00:00:00,Thor2558,64:20:E0:19:F3:09,-37, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-01-08 20:30:20,1900-01-00 00:00:00,Thor2558,64:20:E0:19:F3:09,-37, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-01-08 20:30:20,1900-01-00 00:00:00,Thor2558,64:20:E0:19:F3:09,-41, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-01-08 20:30:20,1900-01-00 00:00:00,Thor2558,64:20:E0:19:F3:09,-41, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-01-08 20:30:20,1900-01-00 00:00:00,,6E:C1:F3:AC:BD:35,-39,,0.000000,0.000000,0.000,0.000,Client
2025-01-08 20:30:20,1900-01-00 00:00:00,,6E:C1:F3:AC:BD:35,-39,,0.000000,0.000000,0.000,0.000,Client
2025-01-08 20:30:20,1900-01-00 00:00:00,,34:97:F6:65:7A:50,-61, ,0.000000,0.000000,0.000,0.000,AP
