LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-01-10 13:03:55,1900-01-00 00:00:00,,5E:90:FB:BF:D8:FC,-36,,0.000000,0.000000,0.000,0.000,Client
2025-01-10 13:03:56,1900-01-00 00:00:00,,96:4C:57:FF:19:4C,-86,,0.000000,0.000000,0.000,0.000,Client
2025-01-10 13:03:56,1900-01-00 00:00:00,,5E:90:FB:BF:D8:FC,-33,,0.000000,0.000000,0.000,0.000,Client
2025-01-10 13:03:58,1900-01-00 00:00:00,,96:4C:57:FF:19:4C,-87,,0.000000,0.000000,0.000,0.000,Client
2025-01-10 13:04:00,1900-01-00 00:00:00,,64:20:E0:19:F3:0A,-38, ,0.000000,0.000000,0.000,0.000,AP
2025-01-10 13:04:00,1900-01-00 00:00:00,Thor2558-5G,64:20:E0:19:F3:0A,-38, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-01-10 13:04:00,1900-01-00 00:00:00,,5E:90:FB:BF:D8:FC,-35,,0.000000,0.000000,0.000,0.000,Client
2025-01-10 13:04:00,1900-01-00 00:00:00,Thor2558-5G,64:20:E0:19:F3:0A,-36, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-01-10 13:04:00,1900-01-00 00:00:00,Thor2558-5G,64:20:E0:19:F3:0A,-36, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-01-10 13:04:00,1900-01-00 00:00:00,Thor2558-5G,64:20:E0:19:F3:0A,-40, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-01-10 13:04:00,1900-01-00 00:00:00,,FA:84:10:EC:FF:6F,-59,,0.000000,0.000000,0.000,0.000,Client
2025-01-10 13:04:03,1900-01-00 00:00:00,,5E:90:FB:BF:D8:FC,-35,,0.000000,0.000000,0.000,0.000,Client
2025-01-10 13:04:04,1900-01-00 00:00:00,,5E:90:FB:BF:D8:FC,-36,,0.000000,0.000000,0.000,0.000,Client
2025-01-10 13:04:07,1900-01-00 00:00:00,,5E:90:FB:BF:D8:FC,-38,,0.000000,0.000000,0.000,0.000,Client
2025-01-10 13:04:08,1900-01-00 00:00:00,,5E:90:FB:BF:D8:FC,-43,,0.000000,0.000000,0.000,0.000,Client
2025-01-10 13:04:10,1900-01-00 00:00:00,,12:A5:F9:3C:68:A7,-62,,0.000000,0.000000,0.000,0.000,Client
2025-01-10 13:04:10,1900-01-00 00:00:00,,12:A5:F9:3C:68:A7,-62,,0.000000,0.000000,0.000,0.000,Client
2025-01-10 13:04:10,1900-01-00 00:00:00,,12:A5:F9:3C:68:A7,-61,,0.000000,0.000000,0.000,0.000,Client
2025-01-10 13:04:10,1900-01-00 00:00:00,,12:A5:F9:3C:68:A7,-62,,0.000000,0.000000,0.000,0.000,Client
2025-01-10 13:04:11,1900-01-00 00:00:00,,12:A5:F9:3C:68:A7,-62,,0.000000,0.000000,0.000,0.000,Client
2025-01-10 13:04:11,1900-01-00 00:00:00,,12:A5:F9:3C:68:A7,-64,,0.000000,0.000000,0.000,0.000,Client
2025-01-10 13:04:11,1900-01-00 00:00:00,,5E:90:FB:BF:D8:FC,-40,,0.000000,0.000000,0.000,0.000,Client
